Samples	Tetracosactide-w00-T1	Tetracosactide-w25-T1	Tetracosactide-w00-T2	Tetracosactide-w25-T2	Tetracosactide-w00-T3	Tetracosactide-w25-T3	Tetracosactide-w00-T4	Tetracosactide-w25-T4	Tetracosactide-w00-T5	Tetracosactide-w25-T5	Tetracosactide-w00-T6	Tetracosactide-w25-T6	Prednisolone-d0-P1	Prednisolone-d4-P1	Prednisolone-d0-P2	Prednisolone-d4-P2	Prednisolone-d0-P3	Prednisolone-d4-P3	Prednisolone-d0-P4	Prednisolone-d4-P4	Prednisolone-d0-P5	Prednisolone-d4-P5	Prednisolone-d0-P6	Prednisolone-d4-P6	Prednisolone-d0-P7	Prednisolone-d4-P7	Prednisolone-d0-P8	Prednisolone-d4-P8
Factors	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after
PC(38:5)	76.03646573	49.5898637	84.89480056	27.35743406	76.70575831	33.09570343	64.78532874	48.2596312	74.7660994	47.43123054	80.39971302	34.02308972	95.0158073	49.50638368	63.84265486	30.78295403	77.27585539	39.60236947	64.20140877	73.05814515	55.27058769	84.3608535	56.60747671	61.01265942	55.35161352	77.13471371	48.57314388	74.3767388
PC(38:6)	27.03645191	26.39504975	26.26731672	17.77506596	29.48743071	29.11402907	17.40101875	12.96911642	24.68504599	24.22463063	27.04395585	27.84654179	25.01830059	23.33864478	24.48243511	13.39301902	27.9519387	21.81201224	25.10790168	41.03007906	17.68042945	45.83398284	25.24265517	24.86403654	25.07918833	37.38860072	19.1525269	32.99678926
PC(38:7)	1.032063928	1.026317033	1.025078534	0.742776767	1.290846875	1.207355777	0.551775198	0.503453679	0.938806064	1.236697776	1.252137259	0.954745208	0.828356024	1.24019897	0.944804961	0.398156772	1.048200405	0.67754874	0.985050202	2.989124081	0.726589729	1.871257935	0.890413546	0.926928988	1.08246225	1.853267034	0.698847715	1.782384033
PC(39:5)	1.822493089	1.128840228	1.872272991	0.363309106	1.808536787	0.559570009	1.430205384	0.687417858	1.503751975	0.944219225	1.972860121	0.640962208	1.961730205	0.413792692	1.41997513	0.467673238	1.614092381	0.655557619	1.295029444	0.606650767	1.144432401	1.375706748	1.24461855	0.869536492	1.254255331	0.877645634	0.922990092	0.801387368
PC(39:6)	0.307690193	0.275577027	0.252036044	0.043617765	0.238124823	0.093690721	0.235365283	0.113992516	0.190519074	0.207779209	0.271229575	0.146098266	0.212327127	0.12987367	0.162203316	0.080297694	0.208634483	0.103021123	0.168369747	0.189780817	0.132670066	0.548124463	0.212670033	0.386603564	0.156054324	0.294369342	0.153998058	0.302324904
PC(40:4)	16.3067086	9.524681305	18.97322647	2.628297624	18.60821169	5.605199686	10.90676206	3.577908257	13.56822215	4.16723672	12.43020062	8.557591556	22.89830584	8.29400717	17.65627545	8.753684026	16.69075866	13.71958617	11.0436833	5.54045659	7.894447242	14.54559919	13.74135475	6.276520437	11.98509566	9.752709229	8.996840764	8.78945784
PC(40:5)	14.47061029	10.79549288	16.48666144	3.812488925	12.37566533	4.438525406	12.83395525	8.498372924	11.72623554	7.666309979	13.18525367	8.056924801	12.46646931	4.021441024	7.891266805	4.772378348	10.92522392	6.048362858	7.504014493	3.979947622	6.645409596	8.398100399	7.634346583	7.227981903	6.78951749	5.601984674	5.96795717	5.236942339
PC(40:6)	21.8771176	16.63094931	20.63825516	4.47743589	17.78271463	8.988254157	14.29262294	8.04411434	16.67712471	11.84290514	18.60703122	7.046074676	16.0451622	7.138212574	12.45191413	5.36871507	12.76849525	7.809146717	10.48384063	9.104715628	9.97352325	19.4194016	12.68570622	13.082563	10.47537819	11.77287923	10.38714908	10.98342673
PC(40:7)	3.576277924	2.888745896	3.075528839	1.497922237	3.249717803	3.066086868	2.021569985	1.739818737	2.67780735	3.159911752	3.221093025	2.496735149	2.603453917	1.319248236	2.529096915	0.871857016	3.006088245	1.50275215	2.276251338	2.04803226	1.737705723	3.874842706	2.517453074	2.001567288	2.82335083	2.583712209	1.962743189	2.528998955
PC(40:8)	1.815254658	1.138886031	2.142672918	0.764930182	2.776114763	1.613844429	1.28416221	0.608968399	1.851053551	1.401216961	2.407756044	1.222503606	2.267265707	1.455459603	2.653257096	1.146666048	2.493720016	2.010042106	1.999286515	2.559144772	1.137254611	3.189198152	1.9938472	1.273759713	2.418142884	2.716230511	1.336901468	1.949487483
PC(O-32:0)	2.063938368	1.082251504	2.359813919	1.319592419	2.480948633	2.104524202	3.26339494	1.097297373	3.358583418	1.309781	2.292173061	1.759810984	2.352325894	5.618958396	1.887563511	2.343419889	2.870602882	2.496988359	2.062737878	2.245358579	2.248417442	4.233784308	3.713796401	5.284803843	3.682771487	4.774637266	2.760152323	3.805418563
PC(O-32:1)	1.552624649	0.921868685	1.62980376	0.946567508	1.404616076	1.244592763	1.980284377	0.66238249	2.262994852	0.976081617	1.758226109	1.139705745	1.676543617	1.080724814	1.150754528	1.024665962	1.556784127	1.277285691	1.406884267	1.205336838	1.335341225	2.089779316	2.009705558	1.147624835	2.118000894	2.036115137	1.499051974	1.586501304
PC(O-32:2)	0.242013742	0.135530833	0.189980049	0.096158911	0.159527612	0.123386039	0.238723767	0.090788034	0.266152464	0.107931577	0.279495552	0.116619973	0.186977208	0.10051883	0.128957507	0.088795399	0.166950838	0.104285421	0.207486717	0.142449938	0.157333091	0.184394276	0.226813028	0.11732505	0.233447383	0.214769953	0.170968458	0.158270206
PC(O-34:1)	8.730306571	5.564849797	9.803784246	4.850254081	10.31667611	8.108453324	11.26584847	3.503438984	14.26543204	5.855397279	10.64376467	8.176197489	10.32461672	6.530727073	7.119366889	6.739578271	11.3571984	7.728269963	8.816252371	6.633830368	8.969959245	10.8789588	12.83602805	6.005859359	12.44984423	12.2514228	10.77131234	10.15997208
PC(O-34:2)	4.569079992	2.651286916	3.697884858	2.502474498	4.015004599	3.747918917	5.266340605	2.211072714	5.843038275	3.1204388	4.821702778	2.245025676	3.717212089	2.28103068	2.771781256	3.697474854	4.406626283	3.47356271	3.805186615	3.612504522	3.559401803	3.934598862	4.815409669	2.585266647	4.912313068	4.849468902	4.141609409	3.871430441
